name;country.etc;pop;lat;long;capital;max_pop;full.name
Armenia;Colombia;292008;45.422.707;-757.155.692;0;292008;Armenia, Colombia
Barranquilla;Colombia;1218000;109.838.039;-748.882.293;0;1218000;Barranquilla, Colombia
Bogota;Colombia;8081000;46.482.836;-742.482.352;0;8081000;Bogota, Colombia
Bucaramanga;Colombia;521857;71.192.047;-731.680.833;0;521857;Bucaramanga, Colombia
Buenaventura;Colombia;415640;38.756.596;-770.934.138;0;415640;Buenaventura, Colombia
Cali;Colombia;2401000;33.950.619;-765.958.757;0;2401000;Cali, Colombia
Cartagena;Colombia;971592;104.001.911;-755.787.372;0;971592;Cartagena, Colombia
Cucuta;Colombia;650011;79.087.542;-725.746.323;0;650011;Cucuta, Colombia
Florencia;Colombia;163323;16.188.687;-756.389.473;0;163323;Florencia, Colombia
Ibague;Colombia;564077;44.583.861;-754.481.769;0;564077;Ibague, Colombia
Manizales;Colombia;398874;50.686.937;-755.538.548;0;398874;Manizales, Colombia
Medellin;Colombia;2464000;62.686.593;-757.368.202;0;2464000;Medellin, Colombia
Monteria;Colombia;422175;87.605.469;-759.170.753;0;422175;Monteria, Colombia
Neiva;Colombia;488927;29.376.188;-753.074.938;0;488927;Neiva, Colombia
Pasto;Colombia;480000;12.135.252;-773.123.279;0;480000;Pasto, Colombia
Pereira;Colombia;709338;4.804.771;-757.839.733;0;709338;Pereira, Colombia
Popayan;Colombia;447820;24.546.404;-766.240.959;0;447820;Popayan, Colombia
Quibdo;Colombia;126384;56.956.327;-766.628.455;0;126384;Quibdo, Colombia
Riohacha;Colombia;150549;115.344.389;-729.497.616;0;150549;Riohacha, Colombia
Sincelejo;Colombia;282833;92.921.896;-754.299.347;0;282833;Sincelejo, Colombia
Santa Marta;Colombia;499257;112.315.231;-742.175.023;0;499257;Santa Marta, Colombia
Tunja;Colombia;195496;5.539.293;-733.913.463;0;195496;Tunja, Colombia
Valledupar;Colombia;473232;104.647.686;-732.942.523;0;473232;Valledupar, Colombia
Villavicencio;Colombia;505996;41.247.544;-736.792.718;0;505996;Villavicencio, Colombia
Arauca;Colombia;89712;70.786.856;-707.704.466;0;89712;Arauca, Colombia
Mocoa;Colombia;43731;11.523.405;-766.598.312;0;43731;Mocoa, Colombia
Yopal;Colombia;146.204;53.333.459;-724.085.563;0;146204;Yopal, Colombia
